id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,estimated_occupancy_l365d,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_location,review_scores_value,host_is_superhost,instant_bookable
823029983440414523,el Barri Gòtic,Ciutat Vella,41.37864,2.17685,Entire condo,Entire home/apt,4,1.0,2.0,3.0,31,1125,0,0,0,0,0,0,0.0,4.68,4.91,4.57,0,0
823030766490316807,l'Antiga Esquerra de l'Eixample,Eixample,41.38541,2.16183,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,31,330,0,0,0,187,0,0,0.0,4.73,4.89,4.6,0,1
823245139521323599,el Barri Gòtic,Ciutat Vella,41.38238041625532,2.1759082314253635,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,2,365,5,12,22,176,255,136,4.43,4.51,4.84,4.54,0,0
823262832480890810,el Camp de l'Arpa del Clot,Sant Martí,41.409639,2.1833493,Entire rental unit,Entire home/apt,5,2.0,3.0,5.0,31,330,30,60,90,365,0,3,0.09,5.0,5.0,4.33,0,0
823302453350564102,el Raval,Ciutat Vella,41.38444,2.16532,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,2,365,10,20,35,196,255,133,4.08,4.5,4.9,4.41,0,1
823559221169492391,l'Antiga Esquerra de l'Eixample,Eixample,41.38951,2.16068,Entire rental unit,Entire home/apt,4,1.5,2.0,2.0,32,365,30,60,90,365,192,10,0.33,5.0,4.9,4.7,1,1
823789398926242617,el Poble Sec,Sants-Montjuïc,41.3729508,2.1627819,Entire rental unit,Entire home/apt,2,2.0,1.0,1.0,32,70,28,58,88,363,64,7,0.22,5.0,5.0,4.86,0,0
823866006614609893,el Raval,Ciutat Vella,41.38022,2.16679,Entire loft,Entire home/apt,2,1.0,0.0,1.0,32,365,12,42,72,347,0,3,0.09,3.33,2.67,3.67,0,0
823911123717521551,l'Antiga Esquerra de l'Eixample,Eixample,41.38874240522818,2.1567285214159204,Private room in rental unit,Private room,2,1.0,1.0,1.0,60,1125,0,0,14,289,0,0,0.0,4.73,4.89,4.6,0,1
823918174736098105,l'Antiga Esquerra de l'Eixample,Eixample,41.38816446430288,2.157426662334523,Private room in rental unit,Private room,2,1.0,1.0,1.0,60,1125,0,0,0,168,0,2,0.07,5.0,5.0,4.5,0,1
823919844662896776,el Besòs i el Maresme,Sant Martí,41.41153,2.22139,Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,31,720,30,60,90,365,0,0,0.0,4.68,4.5,4.5,0,0
824091196300837313,la Nova Esquerra de l'Eixample,Eixample,41.3825785,2.1577187,Other,Entire home/apt,4,1.0,2.0,2.0,31,341,22,22,24,139,255,11,0.36,4.91,5.0,4.82,1,0
